category,inches,new_name,src,dst
DoorExteriorDouble,60,door_exterior_double_60.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorDoubleSwing_Glass_60in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_double_60.svg
DoorExteriorDouble,64,door_exterior_double_64.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorDoubleSwing_Glass_64in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_double_64.svg
DoorExteriorDouble,72,door_exterior_double_72.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorDoubleSwing_72in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_double_72.svg
DoorExteriorSingle,30,door_exterior_single_30.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_30in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_30.svg
DoorExteriorSingle,32,door_exterior_single_32.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_32in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_32.svg
DoorExteriorSingle,36,door_exterior_single_36.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_Glass_36in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_36.svg
DoorExteriorSingle,42,door_exterior_single_42.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_42in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_42.svg
DoorExteriorSingle,48,door_exterior_single_wlites_36+12.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_36in+12inSL_51.5in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_wlites_36+12.svg
DoorExteriorSingle,60,door_exterior_single_wlites_36+12+12.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_36in+12inSLx2_63in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_wlites_36+12+12.svg
DoorExteriorSingle,64,door_exterior_single_wlites_36+14+14.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_exteriorSingleSwing_36in+14inSLx2_67in.svg,/Users/carson/Downloads/UpdatedAssets/door_exterior_single_wlites_36+14+14.svg
DoorInteriorBifold,20,door_interior_bifold_20.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_20in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_20.svg
DoorInteriorBifold,24,door_interior_bifold_24.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_24in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_24.svg
DoorInteriorBifold,30,door_interior_bifold_30.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_30in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_30.svg
DoorInteriorBifold,32,door_interior_bifold_32.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_32in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_32.svg
DoorInteriorBifold,36,door_interior_bifold_36.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_36in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_36.svg
DoorInteriorBifold,42,door_interior_bifold_42.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_42in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_42.svg
DoorInteriorBifold,48,door_interior_bifold_48.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_48in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_48.svg
DoorInteriorBifold,60,door_interior_bifold_60.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_60in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_60.svg
DoorInteriorBifold,72,door_interior_bifold_72.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_72in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_72.svg
DoorInteriorBifold,96,door_interior_bifold_96.svg,/Users/carson/Downloads/21-1031_Updated Bifolds/door_interiorBifold_96in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_bifold_96.svg
DoorInteriorDouble,56,door_interior_double_56.svg,/Users/carson/Downloads/25-1030_Updated Doors 3/door_interiorDoubleSwing_56in.svg,/Users/carson/Downloads/UpdatedAssets/door_interior_double_56.svg
